official_name,lat,lon,Level of Education,Status of School,Sponsor of School,School Institution Type_1,School Institution Type_2,School Institution Type_3,Pupil Teacher Ratio,Pupil Classroom Ratio,Pupil Toilet Ratio,Total Number of Classrooms,Boys Toilets,Girls Toilets,Teachers Toilets,Total Toilets,Total Boys,Total Girls,Total Enrolment,GOK TSC Male,GOK TSC Female,Local Authority Male,Local Authority Female,PTA BOG Male,PTA BOG Female,Others Male,Others Female,Non-Teaching Staff Male,Non-Teaching Staff Female,Province,District,Division,Location,Costituency
MBAGATHI ROAD PRIMARY SCHOOL,-1.305458,36.801164,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,INTEGRATED,32,38.1,41.3,26,8,16,5,0,0,0,991,0,29,0,0,0,2,0,0,3,4,NAIROBI,NAIROBI,DAGORETTI,KENYATTA/GOLF COURSE,DAGORETTI
PEACE JUNIOR SCH PRI,-1.309139,36.800238,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,11.1,15.1,20.8,22,8,8,2,0,0,0,332,0,0,0,0,0,0,15,15,10,10,NAIROBI,NAIROBI,DAGORETTI,KENYATTA/GOLF COURSE,DAGORETTI
SHADRACK KIMALEL PRI SCH,-1.30731,36.798052,PRIMARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,MIXED,DAY ONLY,ORDINARY,48,56,58.4,24,8,15,2,0,0,0,1344,27,0,0,0,1,0,0,0,3,3,NAIROBI,NAIROBI,DAGORETTI,KENYATTA/GOLF COURSE,DAGORETTI
GOLF COURSE ACADEMY,-1.308049,36.796241,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,24.8,18,,11,0,0,0,0,0,0,198,0,0,0,0,0,0,5,3,2,2,NAIROBI,NAIROBI,DAGORETTI,KENYATTA/GOLF COURSE,DAGORETTI
JOSEPH KANGETHE  PRIMARY SCH,-1.300632,36.783725,PRIMARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,MIXED,DAY ONLY,ORDINARY,44.2,62.4,40.8,17,10,16,3,0,482,578,1060,5,17,0,0,1,1,0,0,5,2,NAIROBI,NAIROBI,DAGORETTI,KENYATTA/GOLF COURSE,DAGORETTI
TOI PRI SCH,-1.303054,36.779632,PRIMARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,MIXED,DAY ONLY,ORDINARY,47,53.3,28.1,30,19,38,9,0,0,0,1599,6,28,0,0,0,0,0,0,5,4,NAIROBI,NAIROBI,DAGORETTI,KENYATTA/GOLF COURSE,DAGORETTI
NAIROBI PENTECOSTAL CHURCH WOODLEY PRI SCH,-1.300671,36.772869,PRIMARY SCHOOL,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,20.8,25.2,21.6,24,14,14,6,0,0,0,604,0,0,0,0,12,17,0,0,6,2,NAIROBI,NAIROBI,DAGORETTI,KENYATTA/GOLF COURSE,DAGORETTI
JAMUHURI PRY,-1.300006,36.765673,PRIMARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY ONLY,ORDINARY,37.6,50.1,75.1,24,10,6,2,0,0,0,1202,6,24,0,2,0,0,0,0,2,5,NAIROBI,NAIROBI,DAGORETTI,KENYATTA/GOLF COURSE,DAGORETTI
ST LAZARUS COMMUNITY SCH,-1.313031,36.798351,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,15.6,25,,5,0,0,0,,,,125,0,0,0,0,2,2,2,2,2,2,NAIROBI,NAIROBI,KIBERA,LAINI SABA,LANGATA
MARA ROAD ACADEMY PRI,-1.2971,36.80836,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,6.5,6.5,,2,0,0,0,,7,6,13,0,0,0,0,0,0,0,2,0,0,NAIROBI,NAIROBI,DAGORETTI,KENYATTA/GOLF COURSE,DAGORETTI
